date,Temperature,Rain,Wd,Ws,Pres,RH,dew point Max,dew point Avg,dew point Min,Classes
2023-06-01,22.3,0.2,158,9.2,1013.7,79.6,17,15.5,11,0
2023-06-02,23.4,0,157,9.1,1012.4,81.2,18,15.9,14,0
2023-06-03,20.8,0,237,8.7,1014.3,83.4,17,15.9,14,0
2023-06-04,24,9.6,270,8.7,1013.4,79.8,18,16.6,15,0
2023-06-05,24.3,0,97,9.1,1014.4,80,19,16.4,9,0
2023-06-06,23.7,0,98,9.3,1015,80.4,19,17.5,16,0
2023-06-07,27.7,3.2,143,7.9,1013,82.2,21,18.4,16,0
2023-06-08,26,0.3,116,9.2,1010.2,85.5,22,20.8,19,0
2023-06-09,26,2.2,83,9.8,1011.7,79.4,21,19.7,18,0
2023-06-10,26,0,137,8,1013.4,72.8,23,17.2,14,0
2023-06-11,25,0,173,11.3,1014.3,75,20,16.7,13,0
2023-06-12,26,2,186,11.2,1013.1,78.4,21,18.4,16,0
2023-06-13,25,5.1,156,17.2,1009.2,71,20,18,16,0
2023-06-14,27,1.7,248,10.9,1011.4,72.8,19,17.2,13,0
2023-06-15,27,0.9,173,7.8,1017.4,72.1,19,16.8,15,0
2023-06-16,26,0,172,11.8,1017.5,69.1,19,16.3,14,0
2023-06-17,27,0,196,9.2,1014.7,66,19,15.3,14,0
2023-06-18,29,0,151,11.6,1010.6,65.1,22,18,13,0
2023-06-19,39,0,221,14.8,1009.3,34.8,20,14,6,0
2023-06-20,34,0,122,12.6,1011,76,22,19.6,6,0
2023-06-21,29.3,0,127,12.2,1011.2,84.4,23,21.3,13,0
2023-06-22,27,0,102,13.8,1017.4,85.2,23,21.9,18,0
2023-06-23,26,0,79,8.2,1020.5,86,23,22,19,0
2023-06-24,27.6,0,127,7.7,1018.2,75.1,22,18.9,15,0
2023-06-25,27,0,117,9.5,1017.2,73.6,21,18.5,16,0
2023-06-26,27,0,159,9.3,1018.3,76.8,21,18.5,17,0
2023-06-27,28,0,159,10.2,1017.2,70.5,22,17.6,14,1
2023-06-28,30,0,188,9.7,1013.8,72.3,24,19,13,1
2023-06-29,28,0,123,8.9,1013.4,75.8,23,19.8,16,0
2023-06-30,28.6,0,83,8.7,1013.9,77.9,23,20.6,17,0
2023-07-01,27,1,97,9.4,1015.4,76.8,22,20.1,17,0
2023-07-02,28.5,0,141,8.3,1015.6,74.6,21,19.3,18,0
2023-07-03,28,0,123,8.7,1016,73.3,22,19.6,18,0
2023-07-04,28,0,139,8.8,1015,76.5,23,20.3,17,0
2023-07-05,28.4,0,133,10.7,1015.1,76.7,23,20.5,15,0
2023-07-06,33.3,0,149,7.8,1012.1,80.9,24,21.6,8,0
2023-07-07,31.2,0,97,12.2,1010.3,81.9,25,23.5,20,0
2023-07-08,29.8,0,85,11.2,1016,85.3,25,23.9,22,0
2023-07-09,34,0,196,18,1017.9,72.7,25,22.4,19,1
2023-07-10,45,0,213,12.7,1017.6,40.1,24,16.9,9,0
2023-07-11,43,0,241,13.9,1015.2,32.4,24,13.5,6,0
2023-07-12,42,0,195,16.8,1013.2,44,25,16.5,9,1
2023-07-13,30.9,0,106,11.1,1015,73.3,27,22.8,13,1
2023-07-14,30,0,80,9.1,1015.3,82.9,25,24.6,24,1
2023-07-15,33.8,0,154,16,1012.2,79,25,23.3,19,0
2023-07-16,30.3,0,88,9.8,1014,84,27,25,19,1
2023-07-17,40.4,0,194,10.5,1015.8,45.9,25,18.3,10,0
2023-07-18,43,0,212,13.1,1016.5,27.3,24,11.4,3,0
2023-07-19,40.1,0,191,16.6,1014.2,43.7,26,13.7,1,0
2023-07-20,31,0,123,8,1012.5,67.8,26,20.9,5,0
2023-07-21,34.7,0,145,11.6,1011.6,57.1,25,20.3,14,0
2023-07-22,36.3,0,125,9.7,1014.2,73.6,27,24.2,18,1
2023-07-23,41,0,219,8.7,1013.2,51.8,25,19,0,1
2023-07-24,46,0,214,17.8,1009.2,23.4,25,6.9,-1,1
2023-07-25,31,0.1,140,9.6,1011.3,76,26,23.4,20,1
2023-07-26,30.3,0,101,11.5,1015.3,75.3,24,22.3,21,0
2023-07-27,30.6,0,128,8.7,1013.4,73.7,23,21.7,20,0
2023-07-28,31,0,98,8.9,1012,75.6,25,23.5,20,0
2023-07-29,31.2,0,119,8.1,1012.5,81.7,25,24.2,23,0
2023-07-30,30,0,68,8,1015.2,82.9,25,24.7,23,0
2023-07-31,30,0,93,8.6,1015.5,76.2,25,23.4,22,0
2023-08-01,30,0,136,9.4,1012.8,77.1,25,22.5,20,1
2023-08-02,31,0,129,9.2,1010.9,67.3,23,20.2,15,0
2023-08-03,34.3,0,169,10,1009.7,56.6,24,18.1,-3,1
2023-08-04,31.9,0,77,11.6,1013.3,69.6,23,19.1,12,0
2023-08-05,29.3,0,179,10.4,1017.2,68.7,19,17.2,15,0
2023-08-06,29,0,159,10.3,1016.5,63.7,20,17,11,0
2023-08-07,28,0,101,12.4,1017.8,70.3,21,19.2,18,0
2023-08-08,28,0,122,9.5,1016.9,69.9,20,19,17,0
2023-08-09,30.2,0,149,10.8,1016.8,73.7,22,19.5,18,0
2023-08-10,31,0,223,10.1,1017.5,61.8,22,17.1,12,0
2023-08-11,31,0,182,9.4,1017.9,60.7,24,17.3,10,1
2023-08-12,29,0,147,9.4,1018,72.8,23,19.6,13,0
2023-08-13,29,0,162,9.8,1015.9,76.4,23,20.3,17,0
2023-08-14,31,0,167,9.9,1013.2,67.7,24,19.5,14,1
2023-08-15,31,0,206,9.4,1013.7,62.3,25,17.8,11,0
2023-08-16,34.6,0,219,9.6,1012.4,44.6,23,14.4,7,1
2023-08-17,32.8,0,132,9,1012.6,60.8,25,18.7,9,1
2023-08-18,30,0,96,9.7,1013.5,76.7,25,23.4,19,1
2023-08-19,30,0,158,10.4,1015.4,72.5,24,20.8,16,1
2023-08-20,30.2,0,164,10.2,1017.4,71.8,23,20.2,16,1
2023-08-21,29.5,0,157,9.4,1017.5,75.7,24,21.7,19,0
2023-08-22,30,0,164,9.1,1016.4,66.8,23,19.1,14,1
2023-08-23,30.4,0,156,8.7,1014.6,67.6,24,19.9,15,0
2023-08-24,31.4,0,150,10.4,1013.7,72.6,24,21.2,17,0
2023-08-25,31,0,166,9.2,1013.2,73,24,21.1,18,0
2023-08-26,37,0,147,8.8,1011.5,73.1,25,20.7,16,0
2023-08-27,30.9,0,215,15.2,1007.7,62.6,25,19.1,13,1
2023-08-28,30,0.4,281,12.9,1014.5,50.3,15,13.6,10,1
2023-08-29,31,0,283,11.9,1012.3,57.3,20,14.7,9,0
2023-08-30,28.4,0,174,9.8,1010.9,60.1,20,15.5,12,0
2023-08-31,28.8,0,141,9.8,1015.7,63.7,20,17.8,15,0
2023-09-01,29.7,0,175,8.5,1015.4,69.8,22,19.2,16,0
2023-09-02,31,5,169,8.4,1013.2,69.3,23,19.8,16,0
2023-09-03,36,0,261,8.8,1011,60.8,23,20,16,0
2023-09-04,35.2,0,163,8.9,1011.5,55,26,19.2,13,1
2023-09-05,29.1,0,63,10.2,1013.4,74,23,21.8,17,0
2023-09-06,29,0,166,9.1,1015.1,68.8,20,18.3,16,0
2023-09-07,27.2,0,111,9.5,1016.2,70.4,20,18.4,16,0
2023-09-08,27.5,0,113,8.2,1016.5,66.1,20,18.8,18,0
2023-09-09,28,0,180,9.7,1015.8,70.3,20,18,17,0
2023-09-10,29,0,192,10.5,1015.2,72.5,22,19,16,1
2023-09-11,29,0,163,13.4,1013.5,73.6,23,20.5,14,1
2023-09-12,30.3,0,142,9.2,1013.2,72.6,23,20.4,5,0
2023-09-13,29,0,91,7,1016,78.3,24,22.3,19,0
2023-09-14,29,0,97,8.4,1015.8,76.8,24,21.6,18,0
2023-09-15,36,6.5,222,11.3,1012.7,67,24,19.4,8,1
2023-09-16,34.2,0,181,9.7,1012,46.7,22,15.3,9,1
2023-09-17,36,0,203,14.8,1012.1,32.8,23,12,3,1
2023-09-18,29.1,0,134,8.6,1016,69.8,23,20.7,18,1
2023-09-19,28.1,0,308,7.6,1015.5,74.5,23,20.8,14,0
2023-09-20,30,0,171,9.4,1014.1,73.1,23,20.9,16,0
2023-09-21,29,0,179,9.4,1011.7,70.7,21,18.4,16,0
2023-09-22,28,0.7,196,8.1,1011.4,62.4,19,16.5,14,0
2023-09-23,27,1.1,348,8.1,1017.9,58,19,14.7,12,0
2023-09-24,27,0,132,11.3,1020.8,59,16,13.4,11,0
2023-09-25,26,0,145,10.1,1019.3,66.1,16,14.9,13,0
2023-09-26,25.3,0.1,40,9.5,1018.8,64.9,16,14.8,14,0
2023-09-27,26,0,101,8.6,1019.2,65.4,17,15.2,13,0
2023-09-28,26,0,150,8.9,1019.1,70.8,20,17.2,15,0
2023-09-29,26,0,192,9.6,1021,76.3,20,18,16,0
2023-09-30,26.4,0,184,9.4,1023.2,75.1,19,17.2,13,1
2023-10-01,30.6,0,190,11.4,1022.6,65.1,20,15.2,12,0
2023-10-02,27,0,204,9.4,1021.4,68.5,20,16.1,13,0
2023-10-03,27.4,0,190,12.4,1021.1,71.7,22,17.4,13,0
2023-10-04,27.2,0,165,9.4,1024,74.9,20,18.3,16,1
2023-10-05,26,0,186,9.4,1023.9,75.8,20,18.2,15,0
2023-10-06,28,0,203,11.3,1023.5,70.8,20,17,12,1
2023-10-07,26,0,178,10,1023.2,74.6,19,17.5,15,1
2023-10-08,25.2,0,181,9.3,1023.2,73.4,18,15.9,10,0
2023-10-09,26,0,212,10.1,1022.6,73,19,16,14,0
2023-10-10,26.1,0,197,9.4,1021.1,70.5,20,16.1,13,1
2023-10-11,29,0,202,11.1,1020.3,63.1,22,15.2,11,1
2023-10-12,31,0,221,15.9,1020.6,47.5,21,11.7,7,1
2023-10-13,35,0,226,16.9,1020.8,33.8,16,7.7,5,1
2023-10-14,34.5,0,238,18.8,1018.8,40.8,19,8.9,2,1
2023-10-15,27,0.7,206,9.7,1017.6,64.9,19,14.6,11,0
2023-10-16,27.1,0,221,10.3,1013.9,65.1,19,14.8,12,1
2023-10-17,33,0,238,11.8,1011.8,43.3,18,10.5,4,1
2023-10-18,35,0,251,21.2,1010.5,41.2,20,9.6,2,1
2023-10-19,27.7,0,216,11.2,1005.6,70.8,20,17.3,15,1
2023-10-20,28.9,0,263,11.3,1000.5,46,18,11.3,7,1
2023-10-21,26.9,0,258,8.8,1009,50.4,12,8.9,1,0
2023-10-22,24.5,0,227,9.1,1010.1,60.7,16,11.8,5,0
2023-10-23,33,0,272,15.6,1010.5,34.7,18,7.8,2,1
2023-10-24,30,7.5,270,9.8,1015.4,54.6,19,14.3,9,1
2023-10-25,26.9,0,224,10.1,1015.1,59.7,15,11.7,7,0
2023-10-26,29,0,225,12.2,1012.3,64.2,18,14,11,0
2023-10-27,29,0.2,216,13.6,1010.9,63.4,18,14.3,9,0
2023-10-28,25,0,146,8.6,1013.1,73,25,16.5,14,0
2023-10-29,25,0,190,8.7,1010.2,79.4,18,17,15,0
2023-10-30,27.4,0,188,12.3,1008.2,61,18,13.7,7,0
2023-10-31,26.3,0,198,8.5,1016.4,72.9,17,14.8,10,0
2022-06-01,26,0.5,168,5.9,1013.8,,,,,0
2022-06-02,26.1,0,106,10.3,1012.8,,,,,0
2022-06-03,25.6,0,120,11.2,1013.7,77.7,20,19,18,0
2022-06-04,26.8,0,159,10.4,1015.3,71.1,20,17,14,1
2022-06-05,28.1,0,143,8.6,1018.8,64.6,19,15.8,13,0
2022-06-06,27.1,0,97,9.1,1017.6,74.3,20,18.1,14,0
2022-06-07,27.4,0,112,8.3,1016.6,82.9,21,20,17,0
2022-06-08,26.8,0,141,8.9,1014,76.8,20,18,15,0
2022-06-09,26.5,0,98,9.8,1016.2,70,21,17.5,14,0
2022-06-10,26.2,0,92,9.3,1019.7,63.9,19,15.4,11,0
2022-06-11,25.3,0,137,10.8,1020.5,66.3,17,14.2,10,0
2022-06-12,26.4,0,169,9.9,1020.1,75.7,20,16.6,14,0
2022-06-13,29.1,0,192,10.5,1017.3,65.8,21,15.9,10,0
2022-06-14,31.6,0,138,8.6,1014.6,58.4,22,15.9,8,1
2022-06-15,29.4,0,143,9.5,1015.7,66.9,24,17.8,11,1
2022-06-16,28.7,0,114,8.8,1016.8,68.3,24,18,11,1
2022-06-17,30.2,0,170,10.6,1017.6,67.7,23,17.8,11,0
2022-06-18,30.5,0,177,10.3,1015,62.1,22,17,11,0
2022-06-19,31.6,0,219,11,1011,62,22,17.2,12,0
2022-06-20,29.5,0,166,9.5,1011.4,64.8,24,18.6,11,1
2022-06-21,29.6,0,101,7.8,1010.8,69.5,22,20.3,17,0
2022-06-22,29.9,0,94,8.2,1012.6,62.6,21,18.4,16,0
2022-06-23,29.4,0,138,8.3,1015.1,67.5,21,18,16,0
2022-06-24,29.1,0,333,8.7,1014.6,72.4,21,19.3,18,0
2022-06-25,27.7,0,131,13.3,1011.9,75,21,19.5,18,0
2022-06-26,27.1,0,150,10.3,1009.6,78.7,21,19.6,16,0
2022-06-27,28.2,0,103,7.9,1012.9,73,24,18.9,16,1
2022-06-28,27.6,0,110,8.3,1016.9,73.2,21,18.6,15,0
2022-06-29,27.4,0,94,8.1,1013,78.4,22,20.2,19,0
2022-06-30,27.9,0,131,10.9,1010.1,78,23,20.6,11,0
2022-07-01,30.3,0,76,6.9,1014.4,78.3,23,22,21,0
2022-07-02,28.5,0,77,8.6,1015.6,85.6,24,23.3,23,0
2022-07-03,36.7,0,154,9.1,1015.5,67.8,24,21.2,18,0
2022-07-04,31.4,0,112,12.4,1015.9,79,24,22.8,18,0
2022-07-05,29.8,0,84,9.4,1016.5,83.9,25,23.1,19,0
2022-07-06,31.3,0,91,8.9,1016.6,81.4,25,23.7,20,0
2022-07-07,29.6,0,43,10.5,1018.6,71.7,23,21.6,17,0
2022-07-08,29,0,85,9.2,1021,70,21,19.6,17,0
2022-07-09,28.5,0,127,9.5,1020.2,70.4,20,18.3,16,0
2022-07-10,28.7,0,159,10.4,1017,68.8,21,18,15,0
2022-07-11,28.7,0,131,9.6,1015.5,70.1,21,18.1,15,1
2022-07-12,30.8,0,101,9.4,1015.7,75.6,24,21.1,17,1
2022-07-13,29.9,0,125,10.1,1018.7,77,24,21.9,18,0
2022-07-14,29.4,0,120,8.4,1018.3,74.7,22,20.4,17,0
2022-07-15,29.3,0,138,9.1,1015.3,72.5,22,19.8,16,1
2022-07-16,29.4,0,140,8.8,1015,71.4,23,19.5,15,0
2022-07-17,29.6,0,113,7.9,1016.2,76.2,24,22.9,20,1
2022-07-18,29.7,0,138,10.7,1016,77.2,24,20.9,15,0
2022-07-19,29.4,0,102,8.3,1015.2,78.5,24,21.8,17,0
2022-07-20,29.4,0,109,8.9,1016.1,79.9,24,22.5,19,0
2022-07-21,29.3,0,105,8.8,1016.7,80.7,25,22.5,19,0
2022-07-22,30.5,0,144,10.2,1015.1,77.8,24,21.9,19,0
2022-07-23,31.8,0,158,10,1015.9,75.9,25,21.4,17,0
2022-07-24,31,0,163,8.6,1015.8,67,25,19.2,11,0
2022-07-25,31.6,0,150,11.8,1014.5,67.5,25,19.3,11,1
2022-07-26,30.3,0,138,10.8,1013,73.2,25,20.8,14,1
2022-07-27,30.4,0,124,8.8,1012.5,73.1,24,21.2,17,0
2022-07-28,31.1,0,153,11.7,1012.4,78.4,24,21.7,20,1
2022-07-29,31.9,0,149,12.8,1012.6,77.1,25,21.5,15,1
2022-07-30,29,0,96,9.3,1015.9,78.9,25,22.2,17,0
2022-07-31,30,0,116,8.1,1015.6,77.1,24,22.6,21,0
2022-08-01,31.6,0,168,9.2,1015,71,23,21.4,18,0
2022-08-02,29.7,0,123,8.8,1015.4,74.4,23,19.7,15,1
2022-08-03,29.8,0,142,9.1,1013.8,72.3,23,20.2,17,0
2022-08-04,31.6,0,100,8.7,1012.9,73.9,25,21.1,16,0
2022-08-05,31.9,0,149,8.9,1013.6,78,25,23,21,0
2022-08-06,30,0,146,9,1015.3,78,25,22.2,17,0
2022-08-07,29.9,0,163,9.4,1014.5,69.8,23,19.6,16,0
2022-08-08,30.7,0,157,10.2,1014.7,67.8,25,19.5,12,0
2022-08-09,30.5,0,166,8.9,1015.3,72.3,24,20.6,16,0
2022-08-10,29,0,159,8.8,1015.3,73.7,23,20.4,17,0
2022-08-11,29.8,0,171,9.1,1013.8,71.3,24,19.8,16,1
2022-08-12,29.6,0,176,9.1,1014.1,66.7,23,18.7,12,1
2022-08-13,37.9,0,219,11.5,1012,38.1,21,12.3,7,1
2022-08-14,37,0,185,8.5,1009.1,45.2,25,15.4,8,1
2022-08-15,37.8,0,156,12.7,1008.7,52.1,22,17.7,9,1
2022-08-16,36.2,6.1,289,9.1,1009.1,45.9,20,16.2,11,1
2022-08-17,30.8,0.5,136,14.6,1007.5,60.8,23,19,15,1
2022-08-18,31.3,0,123,8.6,1011.9,62.8,22,18.8,16,0
2022-08-19,29.4,0,140,8,1017.2,70.2,21,19.6,18,0
2022-08-20,28.6,0,159,9.9,1017.9,68,20,18.1,16,0
2022-08-21,29.8,0,181,10.8,1015,66.8,21,18,15,0
2022-08-22,29.1,0,134,9.4,1012.7,67.5,22,17.6,12,1
2022-08-23,30,0,157,8.8,1014,70.8,22,19.7,18,0
2022-08-24,29.8,0,166,9.2,1014,70.1,21,19.3,17,1
2022-08-25,30.7,0,167,10.8,1013.7,71.6,22,19.3,16,1
2022-08-26,30,0,152,8.8,1012,74.4,23,19.9,16,0
2022-08-27,29.2,0,140,7.9,1010.8,77.2,23,21.3,20,1
2022-08-28,29.6,0,153,8.5,1012.4,78,23,21.5,20,0
2022-08-29,30.1,0,184,8.1,1014.3,77.3,24,21.7,20,0
2022-08-30,34.1,0,194,10.2,1015.3,59.2,24,20.3,16,1
2022-08-31,31.2,0,125,7.9,1016.5,,,,,0
2022-09-01,32.5,0,120,5.8,1014.7,,,,,1
2022-09-02,35.2,0,173,8.1,1012.5,,,,,0
2022-09-03,33.6,0,164,6.7,1013.4,49.7,20,16.7,3,0
2022-09-04,36,1,190,11,1014.8,62.7,23,19.6,17,0
2022-09-05,30.7,0,149,8.4,1017.5,72.3,24,21.4,19,0
2022-09-06,33.9,0,163,9.4,1017.4,64.5,22,19.4,15,0
2022-09-07,33.1,0,131,13.9,1013.9,63.6,25,21.1,13,0
2022-09-08,32.1,0,127,13.6,1013.8,59.6,24,18.8,12,1
2022-09-09,30,0.5,165,9.8,1016.3,66.7,23,18.4,13,1
2022-09-10,29.3,0,163,9,1017.4,72.9,23,19.4,14,0
2022-09-11,29.7,0,173,9.5,1015.3,73.7,23,19.8,17,0
2022-09-12,33.8,0,235,10,1011.9,56.7,22,16.8,12,1
2022-09-13,38.4,0,196,10.4,1009.7,40.7,20,14.3,11,1
2022-09-14,35.4,0,216,10.8,1010.2,85,25,24,23,1
2022-09-15,31,0,126,8.2,1012.3,70.4,23,20.8,16,1
2022-09-16,29.3,0,270,8,1012.3,62.3,19,17.4,14,0
2022-09-17,28.9,0,100,11,1011.6,70.5,22,19,16,0
2022-09-18,28.4,0,71,15,1013.1,74.2,21,20.6,20,0
2022-09-19,29.2,0,105,10.6,1012.2,77.1,23,21,19,0
2022-09-20,27.4,0,66,8.4,1015.6,68.8,21,19.2,17,0
2022-09-21,26.9,0,172,9.4,1016.1,72.3,20,17.5,16,0
2022-09-22,26,10.9,288,7,1015.4,76.6,20,17.7,14,0
2022-09-23,26.1,2,205,9.4,1017,71.9,19,16.6,14,0
2022-09-24,35,0,236,15.2,1012.7,53.8,21,13.9,8,1
2022-09-25,30.5,0,254,22.6,1010,48.5,21,14.1,11,0
2022-09-26,29.9,0,240,15.3,1010.6,70.3,20,17.6,16,0
2022-09-27,30,3,264,10.7,1012.8,58.1,19,13.4,10,0
2022-09-28,31,0,253,11.5,1011.5,50.3,16,11,7,1
2022-09-29,30.4,0,220,13.5,1006.9,53,17,11.8,7,1
2022-09-30,28,1.2,262,11,1010.1,71.3,16,14.3,8,1
2022-10-01,24,3,189,9.3,1023.6,75.2,16,14.9,14,0
2022-10-02,26.3,0,207,10.2,1025.6,75,24,16.3,14,1
2022-10-03,25.7,0,151,8,1020.1,77.1,19,17.3,15,0
2022-10-04,26,3,196,9.8,1019.3,82.3,21,18.9,16,0
2022-10-05,26.7,6.3,238,12.9,1021.7,77.3,18,16.5,15,0
2022-10-06,27.6,0.7,237,12.7,1023,67.8,17,15.7,14,0
2022-10-07,27.8,1.1,246,13.5,1020.6,64.6,16,14.6,13,0
2022-10-08,29,0,233,16.8,1016.6,63.8,19,15.5,14,0
2022-10-09,28,0.5,254,18.5,1016.2,67.5,19,16.1,13,0
2022-10-10,27,0,214,14.9,1015.9,67.8,20,16.1,14,0
2022-10-11,26.2,0,208,12.1,1016.3,71,19,15.8,5,0
2022-10-12,25,5.5,203,8,1017.3,76.5,19,17.4,16,0
2022-10-13,26,0,98,7.3,1021.1,78.8,20,18.5,17,0
2022-10-14,24.2,0,192,9.2,1021.8,78.5,19,16.9,14,0
2022-10-15,26,0,223,12.2,1017.5,71.7,18,15.4,14,1
2022-10-16,30,0,221,15.9,1017.4,62.2,20,15.3,12,1
2022-10-17,27,0,218,8.2,1021.8,71.4,21,16.9,14,0
2022-10-18,29,0,222,13,1023,65,22,16,13,0
2022-10-19,28,0,235,12.9,1019.9,60.3,20,14.3,10,0
2022-10-20,32,0,236,14,1016.5,50.4,19,11.6,8,1
2022-10-21,30,0,236,16.5,1016.9,50.7,20,13,8,1
2022-10-22,35,0,236,18,1017.9,37.9,19,10.4,8,1
2022-10-23,35,0,236,16,1019.3,35.5,17,8.1,1,1
2022-10-24,33,0,251,16.7,1020.1,32.4,15,6.3,2,1
2022-10-25,32,0,248,16,1019.6,36.7,16,6.6,3,1
2022-10-26,32.5,0,245,15.8,1019.9,40,17,7.6,4,1
2022-10-27,30,0,235,15.7,1022.9,34.3,13,5.8,4,1
2022-10-28,26,0,218,14.3,1023.3,46.2,18,8.1,3,1
2022-10-29,24,0,223,12.1,1020.5,60.6,18,10.5,5,1
2022-10-30,25,0,206,11.9,1018.9,65.3,20,11.8,5,1
2022-10-31,24,0,218,9.4,1019.7,67.8,18,12.2,7,1
2021-06-01,27.4,0.5,132,8,1011.5,76.1,20,18.7,17,0
2021-06-02,24,0,99,12.5,1014,82.5,20,18.7,17,0
2021-06-03,24,0,88,8.2,1016.5,86.5,21,19.1,17,0
2021-06-04,31,1.6,182,12.9,1019,77.2,21,18.8,13,0
2021-06-05,26,0.1,92,9.6,1017.7,80.2,21,19.3,17,0
2021-06-06,23,4.5,97,8.3,1019.9,84.7,20,18.6,18,0
2021-06-07,24,0,122,7.7,1021,81.3,19,17.7,16,0
2021-06-08,25,0,165,10,1019.7,78.4,19,16.5,14,0
2021-06-09,26,0,167,8.6,1019.8,67.4,18,15.1,10,0
2021-06-10,28,0,159,10.5,1018.6,65.7,19,14,9,0
2021-06-11,26,0,165,8.9,1016.3,66,19,15,12,0
2021-06-12,25.1,0,127,9,1017.6,72.7,20,16.3,12,0
2021-06-13,26,0,113,8.6,1018.5,76.3,21,17.2,11,0
2021-06-14,26.7,0,189,9.2,1016.6,75,21,17.9,13,0
2021-06-15,28,0,20,7.2,1014.9,61.3,19,15.6,12,0
2021-06-16,32,0,171,12.1,1010.4,66.3,21,17.4,13,1
2021-06-17,30,0,52,8.9,1011.6,70.6,20,19,18,0
2021-06-18,29,0,106,8.4,1013.6,72.3,21,17.8,11,0
